id,trigger,conditions,script,text,options,notes
uwMarketOptionSwapS2,DialogOptionSelected,"UW_UpgradeInstalled S1
$option == uwMarketSwapS2","UW_UpgradeShip S2
AddText ""Replaced the Burn Drive system with Maneuvering Jets and replaced the built-in Advanced Targeting Core with Auxiliary Thrusters and Unstable Injector for $global.uwUpgradeShip, at the cost of $global.uwUpgradeS2SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeS2SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeW1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W1
!UW_UpgradeInstalled W2
UW_UpgradeEnoughCredits W1","SetTooltip uwMarketUpgradeW1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeW1CostStr credits. $player.creditsStr credits are available. The Diablo Cannon has the same sustained damage, but five times the burst damage of a Hellfire Cannon.""
SetTooltipHighlightColors uwMarketUpgradeW1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeW1 $global.uwUpgradeShip $global.uwUpgradeW1CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeW1 ""Upgrading the built-in Hellfire Cannon to the Diablo Cannon for $global.uwUpgradeShip requires $global.uwUpgradeW1CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,10:uwMarketUpgradeW1:Upgrade built-in Hellfire Cannon to Diablo Cannon,
uwMarketAddOptionUpgradeW1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W1
!UW_UpgradeInstalled W2
!UW_UpgradeEnoughCredits W1","SetTooltip uwMarketUpgradeW1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeW1CostStr credits. Only $player.creditsStr credits are available. The Diablo Cannon has the same sustained damage, but five times the burst damage of a Hellfire Cannon.""
SetTooltipHighlightColors uwMarketUpgradeW1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeW1 $global.uwUpgradeShip $global.uwUpgradeW1CostStr $player.creditsStr
SetEnabled uwMarketUpgradeW1 false",,10:uwMarketUpgradeW1:Upgrade built-in Hellfire Cannon to Diablo Cannon,
uwMarketOptionUpgradeW1,DialogOptionSelected,"!UW_UpgradeInstalled W2
$option == uwMarketUpgradeW1","UW_UpgradeShip W1
AddText ""Upgraded the built-in Hellfire Cannon to the Diablo Cannon for $global.uwUpgradeShip, at the cost of $global.uwUpgradeW1CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeW1CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapW1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W1
UW_UpgradeInstalled W2
UW_UpgradeEnoughCredits W1","SetTooltip uwMarketSwapW1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeW1SwapCostStr credits. $player.creditsStr credits are available. The Diablo Cannon has the same sustained damage, but five times the burst damage of a Hellfire Cannon.""
SetTooltipHighlightColors uwMarketSwapW1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapW1 $global.uwUpgradeShip $global.uwUpgradeW1SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapW1 ""Reverting modular weapon slot upgrades, decreasing maximum ordnance points by 20, and upgrading the built-in Hellfire Cannon to the Diablo Cannon for $global.uwUpgradeShip requires $global.uwUpgradeW1SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,10:uwMarketSwapW1:Revert modular weapon slots and upgrade built-in Hellfire Cannon to Diablo Cannon (-20 OP),
uwMarketAddOptionSwapW1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W1
UW_UpgradeInstalled W2
!UW_UpgradeEnoughCredits W1","SetTooltip uwMarketSwapW1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeW1SwapCostStr credits. Only $player.creditsStr credits are available. The Diablo Cannon has the same sustained damage, but five times the burst damage of a Hellfire Cannon.""
SetTooltipHighlightColors uwMarketSwapW1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapW1 $global.uwUpgradeShip $global.uwUpgradeW1SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapW1 false",,10:uwMarketSwapW1:Revert modular weapon slots and upgrade built-in Hellfire Cannon to Diablo Cannon (-20 OP),
uwMarketOptionSwapW1,DialogOptionSelected,"UW_UpgradeInstalled W2
$option == uwMarketSwapW1","UW_UpgradeShip W1
AddText ""Reverted modular weapon slot upgrades, decreased maximum ordnance points by 20, and upgraded the built-in Hellfire Cannon to the Diablo Cannon for $global.uwUpgradeShip, at the cost of $global.uwUpgradeW1SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeW1SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeW2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W2
!UW_UpgradeInstalled W1
UW_UpgradeEnoughCredits W2","SetTooltip uwMarketUpgradeW2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeW2CostStr credits. $player.creditsStr credits are available. Weapon slot upgrades: two medium slots are increased to large, twelve ballistic slots are changed to hybrid/composite/universal, and the Hellfire Cannon arc is increased to 360 degrees.""
SetTooltipHighlightColors uwMarketUpgradeW2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeW2 $global.uwUpgradeShip $global.uwUpgradeW2CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeW2 ""Further upgrading modular weapon slots and increasing maximum ordnance points by 20 for $global.uwUpgradeShip requires $global.uwUpgradeW2CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,11:uwMarketUpgradeW2:Further upgrade modular weapon slots (+20 OP),
uwMarketAddOptionUpgradeW2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W2
!UW_UpgradeInstalled W1
!UW_UpgradeEnoughCredits W2","SetTooltip uwMarketUpgradeW2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeW2CostStr credits. Only $player.creditsStr credits are available. Weapon slot upgrades: two medium slots are increased to large, twelve ballistic slots are changed to hybrid/composite/universal, and the Hellfire Cannon arc is increased to 360 degrees.""
SetTooltipHighlightColors uwMarketUpgradeW2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeW2 $global.uwUpgradeShip $global.uwUpgradeW2CostStr $player.creditsStr
SetEnabled uwMarketUpgradeW2 false",,11:uwMarketUpgradeW2:Further upgrade modular weapon slots (+20 OP),
uwMarketOptionUpgradeW2,DialogOptionSelected,"!UW_UpgradeInstalled W1
$option == uwMarketUpgradeW2","UW_UpgradeShip W2
AddText ""Further upgraded modular weapon slots and increased maximum ordnance points by 20 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeW2CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeW2CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapW2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W2
UW_UpgradeInstalled W1
UW_UpgradeEnoughCredits W2","SetTooltip uwMarketSwapW2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeW2SwapCostStr credits. $player.creditsStr credits are available. Weapon slot upgrades: two medium slots are increased to large, twelve ballistic slots are changed to hybrid/composite/universal, and the Hellfire Cannon arc is increased to 360 degrees.""
SetTooltipHighlightColors uwMarketSwapW2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapW2 $global.uwUpgradeShip $global.uwUpgradeW2SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapW2 ""Reverting the built-in Diablo Cannon to a Hellfire Cannon, further upgrading modular weapon slots, and increasing maximum ordnance points by 20 for $global.uwUpgradeShip requires $global.uwUpgradeW2SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,11:uwMarketSwapW2:Revert built-in Diablo Cannon to Hellfire Cannon and further upgrade modular weapon slots (+20 OP),
uwMarketAddOptionSwapW2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable W2
UW_UpgradeInstalled W1
!UW_UpgradeEnoughCredits W2","SetTooltip uwMarketSwapW2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeW2SwapCostStr credits. Only $player.creditsStr credits are available. Weapon slot upgrades: two medium slots are increased to large, twelve ballistic slots are changed to hybrid/composite/universal, and the Hellfire Cannon arc is increased to 360 degrees.""
SetTooltipHighlightColors uwMarketSwapW2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapW2 $global.uwUpgradeShip $global.uwUpgradeW2SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapW2 false",,11:uwMarketSwapW2:Revert built-in Diablo Cannon to Hellfire Cannon and further upgrade modular weapon slots (+20 OP),
uwMarketOptionSwapW2,DialogOptionSelected,"UW_UpgradeInstalled W1
$option == uwMarketSwapW2","UW_UpgradeShip W2
AddText ""Reverted the built-in Diablo Cannon to a Hellfire Cannon, further upgraded modular weapon slots, and increased maximum ordnance points by 20 for $global.uwUpgradeShip, at the cost of $global.uwUpgradeW2SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeW2SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeA1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A1
!UW_UpgradeInstalled A2
UW_UpgradeEnoughCredits A1","SetTooltip uwMarketUpgradeA1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeA1CostStr credits. $player.creditsStr credits are available. Infernal Minefield causes mines to attack enemy ships during battle.""
SetTooltipHighlightColors uwMarketUpgradeA1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeA1 $global.uwUpgradeShip $global.uwUpgradeA1CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeA1 ""Installing built-in Infernal Minefield into $global.uwUpgradeShip requires $global.uwUpgradeA1CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,12:uwMarketUpgradeA1:Install built-in Infernal Minefield,
uwMarketAddOptionUpgradeA1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A1
!UW_UpgradeInstalled A2
!UW_UpgradeEnoughCredits A1","SetTooltip uwMarketUpgradeA1 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeA1CostStr credits. Only $player.creditsStr credits are available. Infernal Minefield causes mines to attack enemy ships during battle.""
SetTooltipHighlightColors uwMarketUpgradeA1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeA1 $global.uwUpgradeShip $global.uwUpgradeA1CostStr $player.creditsStr
SetEnabled uwMarketUpgradeA1 false",,12:uwMarketUpgradeA1:Install built-in Infernal Minefield,
uwMarketOptionUpgradeA1,DialogOptionSelected,"!UW_UpgradeInstalled A2
$option == uwMarketUpgradeA1","UW_UpgradeShip A1
AddText ""Installed built-in Infernal Minefield into $global.uwUpgradeShip, at the cost of $global.uwUpgradeA1CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeA1CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapA1_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A1
UW_UpgradeInstalled A2
UW_UpgradeEnoughCredits A1","SetTooltip uwMarketSwapA1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeA1SwapCostStr credits. $player.creditsStr credits are available. Infernal Minefield causes mines to attack enemy ships during battle.""
SetTooltipHighlightColors uwMarketSwapA1 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapA1 $global.uwUpgradeShip $global.uwUpgradeA1SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapA1 ""Replacing the built-in Infernal Shield with Infernal Minefield for $global.uwUpgradeShip requires $global.uwUpgradeA1SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,12:uwMarketSwapA1:Replace built-in Infernal Shield with Infernal Minefield,
uwMarketAddOptionSwapA1_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A1
UW_UpgradeInstalled A2
!UW_UpgradeEnoughCredits A1","SetTooltip uwMarketSwapA1 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeA1SwapCostStr credits. Only $player.creditsStr credits are available. Infernal Minefield causes mines to attack enemy ships during battle.""
SetTooltipHighlightColors uwMarketSwapA1 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapA1 $global.uwUpgradeShip $global.uwUpgradeA1SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapA1 false",,12:uwMarketSwapA1:Replace built-in Infernal Shield with Infernal Minefield,
uwMarketOptionSwapA1,DialogOptionSelected,"UW_UpgradeInstalled A2
$option == uwMarketSwapA1","UW_UpgradeShip A1
AddText ""Replaced the built-in Infernal Shield with Infernal Minefield for $global.uwUpgradeShip, at the cost of $global.uwUpgradeA1SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeA1SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionUpgradeA2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A2
!UW_UpgradeInstalled A1
UW_UpgradeEnoughCredits A2","SetTooltip uwMarketUpgradeA2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeA2CostStr credits. $player.creditsStr credits are available. Infernal Shield allows dissipation of hard flux while shields are up, converts shield to 360-degree omni, increases shield turn rate and extension speed, and reduces damage taken by shields.""
SetTooltipHighlightColors uwMarketUpgradeA2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketUpgradeA2 $global.uwUpgradeShip $global.uwUpgradeA2CostStr $player.creditsStr
UW_AddConfirmation uwMarketUpgradeA2 ""Installing built-in Infernal Shield for $global.uwUpgradeShip requires $global.uwUpgradeA2CostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,13:uwMarketUpgradeA2:Install built-in Infernal Shield,
uwMarketAddOptionUpgradeA2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A2
!UW_UpgradeInstalled A1
!UW_UpgradeEnoughCredits A2","SetTooltip uwMarketUpgradeA2 ""Installing this upgrade into $global.uwUpgradeShip requires $global.uwUpgradeA2CostStr credits. Only $player.creditsStr credits are available. Infernal Shield allows dissipation of hard flux while shields are up, converts shield to 360-degree omni, increases shield turn rate and extension speed, and reduces damage taken by shields.""
SetTooltipHighlightColors uwMarketUpgradeA2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketUpgradeA2 $global.uwUpgradeShip $global.uwUpgradeA2CostStr $player.creditsStr
SetEnabled uwMarketUpgradeA2 false",,13:uwMarketUpgradeA2:Install built-in Infernal Shield,
uwMarketOptionUpgradeA2,DialogOptionSelected,"!UW_UpgradeInstalled A1
$option == uwMarketUpgradeA2","UW_UpgradeShip A2
AddText ""Installed built-in Infernal Shield for $global.uwUpgradeShip, at the cost of $global.uwUpgradeA2CostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeA2CostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
uwMarketAddOptionSwapA2_1,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A2
UW_UpgradeInstalled A1
UW_UpgradeEnoughCredits A2","SetTooltip uwMarketSwapA2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeA2SwapCostStr credits. $player.creditsStr credits are available. Infernal Shield allows dissipation of hard flux while shields are up, converts shield to 360-degree omni, increases shield turn rate and extension speed, and reduces damage taken by shields.""
SetTooltipHighlightColors uwMarketSwapA2 buttonShortcut buttonShortcut buttonShortcut
SetTooltipHighlights uwMarketSwapA2 $global.uwUpgradeShip $global.uwUpgradeA2SwapCostStr $player.creditsStr
UW_AddConfirmation uwMarketSwapA2 ""Replacing the built-in Infernal Minefield with Infernal Shield for $global.uwUpgradeShip requires $global.uwUpgradeA2SwapCostStr credits. $player.creditsStr credits are available. Do you want to proceed?""",,13:uwMarketSwapA2:Replace built-in Infernal Minefield with Infernal Shield,
uwMarketAddOptionSwapA2_2,UWPopulateRestoreOrUpgradeOptions,"$hasMarket
$menuState == uwRestoreOrUpgrade
UW_UpgradeAvailable A2
UW_UpgradeInstalled A1
!UW_UpgradeEnoughCredits A2","SetTooltip uwMarketSwapA2 ""Swapping to this upgrade for $global.uwUpgradeShip requires $global.uwUpgradeA2SwapCostStr credits. Only $player.creditsStr credits are available. Infernal Shield allows dissipation of hard flux while shields are up, converts shield to 360-degree omni, increases shield turn rate and extension speed, and reduces damage taken by shields.""
SetTooltipHighlightColors uwMarketSwapA2 buttonShortcut buttonShortcut bad
SetTooltipHighlights uwMarketSwapA2 $global.uwUpgradeShip $global.uwUpgradeA2SwapCostStr $player.creditsStr
SetEnabled uwMarketSwapA2 false",,13:uwMarketSwapA2:Replace built-in Infernal Minefield with Infernal Shield,
uwMarketOptionSwapA2,DialogOptionSelected,"UW_UpgradeInstalled A1
$option == uwMarketSwapA2","UW_UpgradeShip A2
AddText ""Replaced the built-in Infernal Minefield with Infernal Shield for $global.uwUpgradeShip, at the cost of $global.uwUpgradeA2SwapCostStr credits.""
SetTextHighlightColors hColor hColor
SetTextHighlights $global.uwUpgradeShip $global.uwUpgradeA2SwapCostStr
FireAll UWPopulateRestoreOrUpgradeOptions",,,
,,,,,,
uwEncounterFamousCancer,BeginFleetEncounter,"$stillAlive
!$talked
$faction.id == famous_bounty score:100
$stageName == STAGE_CANCER","unset $entity.ignorePlayerCommRequests
AddText ""You're being hailed by $personName."" $faction.baseColor
$talked = true 7
MakeOtherFleetPreventDisengage tOff true
MakeOtherFleetAggressive tOff true
OpenComms","Your tech officer screams incoherently as the tactical displays flash through horrifying, alien symbols before rebooting. Your comms officer starts praying to any gods that will listen. You look out through the viewscreen.

They loom before you, a cancer upon the vacuum of space. The hulls are gnarled, bent, twisted as if caught writhing in endless agony. The scored armor panels scream of sickness, rather than battle. A shadow seems to creep from the enemy fleet, spreading towards you like a veil of corruption.

Something dies inside of you, wrenching your soul. The abominations arrayed before you lack some crucial aspect of humanity, like a cup with no bottom.",,
uwGreetingFamousCancer,OpenCommLink,"$faction.id == famous_bounty score:100
$entity.stageName == STAGE_CANCER",$entity.ignorePlayerCommRequests = true 1,"A deranged figure appears on the communicator, muttering obscenities and blasphemies.",cutCommLink:Cut the comm link,
